frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
16,6,0,car,0.7721,731,157,788,189
16,7,0,car,0.7394,248,163,299,212
16,8,0,car,0.63,244,153,275,177
16,9,0,car,0.3358,236,152,266,177
16,10,0,car,0.2681,993,186,1002,236
17,1,0,car,0.8619,4,365,135,434
17,2,0,car,0.7998,867,194,944,240
17,3,0,car,0.7961,528,213,597,251
17,4,0,car,0.793,87,202,154,241
17,5,0,car,0.7922,640,206,706,241
17,6,0,car,0.7752,734,159,791,190
17,7,0,car,0.7427,253,162,302,211
17,8,0,car,0.6397,251,152,280,177
18,1,0,car,0.8635,13,362,144,430
18,2,0,car,0.8066,880,194,955,240
18,3,0,car,0.7966,91,202,158,241
18,4,0,car,0.796,529,214,598,252
18,5,0,car,0.7928,641,208,706,241
18,6,0,car,0.7761,736,160,793,191
18,7,0,car,0.741,259,161,305,210
18,8,0,car,0.6407,256,152,286,175
18,9,0,car,0.3486,268,70,297,91
19,1,0,car,0.8587,31,356,159,422
19,2,0,car,0.7975,529,215,599,253
19,3,0,car,0.7963,901,193,975,239
19,4,0,car,0.7954,96,203,162,241
19,5,0,car,0.7935,640,210,708,244
19,6,0,car,0.7835,739,162,797,193
19,7,0,car,0.7406,268,160,316,209
19,8,0,car,0.6255,264,151,294,174
19,9,0,car,0.4078,278,68,305,89
19,10,0,car,0.3695,274,150,304,174
20,1,0,car,0.858,31,356,159,422
20,2,0,car,0.7998,900,193,975,239
20,3,0,car,0.7981,529,215,598,253
20,4,0,car,0.7977,96,203,162,240
20,5,0,car,0.7936,640,210,707,244
20,6,0,car,0.7839,739,163,797,193
20,7,0,car,0.7397,268,160,316,209
20,8,0,car,0.629,264,151,294,174
20,9,0,car,0.3975,277,68,305,89
20,10,0,car,0.2845,276,152,306,174
21,1,0,car,0.8621,47,352,170,415
21,2,0,car,0.817,918,191,992,237
21,3,0,car,0.7981,528,216,597,253
21,4,0,car,0.7965,100,202,165,240
21,5,0,car,0.7933,637,212,705,246
21,6,0,car,0.7881,738,164,799,195
21,7,0,car,0.7377,275,158,322,206
21,8,0,car,0.6267,274,150,302,172
21,9,0,car,0.4777,283,66,310,87
21,10,0,car,0.3494,265,149,294,171
22,1,0,car,0.859,54,350,176,412
22,2,0,car,0.8102,927,190,996,237
22,3,0,car,0.7965,527,217,597,253
22,4,0,car,0.7953,100,202,166,240
22,5,0,car,0.7937,635,212,704,247
22,6,0,car,0.7878,739,164,798,196
22,7,0,car,0.7347,278,157,323,206
22,8,0,car,0.6293,276,149,304,171
22,9,0,car,0.3982,286,66,310,86
22,10,0,car,0.3017,293,66,318,86
23,1,0,car,0.8578,60,348,180,409
23,2,0,car,0.8069,933,188,1002,236
23,3,0,car,0.7974,100,202,166,240
23,4,0,car,0.797,525,217,595,253
23,5,0,car,0.794,634,212,702,246
23,6,0,car,0.7886,738,165,797,196
23,7,0,car,0.7364,280,158,326,204
23,8,0,car,0.6382,278,148,305,170
23,9,0,car,0.4238,294,66,317,85
23,10,0,car,0.3706,285,66,310,85
24,1,0,car,0.8576,60,348,180,409
24,2,0,car,0.8057,933,188,1002,237
24,3,0,car,0.7973,100,202,166,241
24,4,0,car,0.7969,525,217,595,253
24,5,0,car,0.7939,634,212,702,246
